PROPNUM,IP30,IP180,MUWI,SUB_AREA,FIELD,PAD_NAME,INITIAL_RSV_PRESSURE_PSI,SPACING_DIST_FT,FRAC_DESIGN_SIMPLIFIED,PERF_PERF,CLUSTER_SPACING_FT,FRACED_STAGES,AVG_RATE_BPM,AVG_PRESS_PSI,FRAC_VENDOR,TOTAL_PROPPANT_LB,MESH_100_LBS,LBS_40_70,LBS_30_50,TOTAL_FLUID_BBL,TOTAL_ACID_BBL,WELL_NUMBER
Q1891NPEO0,6310,25225,9264201300000000SCD0030H1,North,Tilden East,"Wally Unit A 1H, A 2H, A 3H",6225,525,Short Slickwater,7061,67,21,73.8,8374,Halliburton,8818900,788480,5086920,2943500,260256,1519,1
Q1891NREO0,8635,47364,9264201300000000TOM0018H1,South,Tilden East,"RLT Unit A1H,B1H",6467,825,Short Slickwater,7868,69,23,74.2,9020,Frac Tech I,10056040,882960,6215460,2957620,305286,1438,1
Q1891NVEO0,7974,30613,9264201300000000SCD0002H1,North,Tilden East,Single Well,5869,1000,Slickwater,4830,68,18,77.1,8492,Frac Tech II,6203180,553780,3275320,2374080,220281,889,1
Q1891NWEO0,3795,20378,9264201300000000TOM0002H1,South,Tilden East,Single Well,6363,1000,Slickwater,4558,68,17,82,8531,Frac Tech I,5822760,517280,3175540,2129940,195556,849,1
Q1891O2DO0,7109,28207,9264201300000000SCD0031H1,North,Tilden East,"Wally Unit A 1H, A 2H, A 3H",6223,450,Short Slickwater,6964,69,20,77.6,8198,Halliburton,8424540,754400,4810460,2859680,231506,1192,2
Q1891O7DO0,7138,26394,9264201300000000SCD0032H1,North,Tilden East,"Wally Unit A 1H, A 2H, A 3H",6210,675,Short Slickwater,6932,70,20,76.3,8260,Halliburton,8073443,705663,4787600,2580180,238809,1250,3
Q1891OBDO0,7512,26323,9264201300000000SCD0048H1,North,Tilden East,L Kellner Unit 3H & 4H,6063,400,Short Slickwater,5812,70,17,74.81,8613.65,Frac Tech II,7497860,653680,4291700,2552480,198420,900.55,3
Q1891OCDO0,5910,26953,9264201300000000SCD0026H1,North,Tilden East,"Wally Unit B 1H, B 2H, B 3H",6212,550,Short Slickwater,6831,69,20,76,8328,Frac Tech II,8683500,726200,5411840,2545460,209017,1251,1
Q1891OGDO0,5911,18624,9264201300000000SCD0049H1,North,Tilden East,L Kellner Unit 3H & 4H,6060,700,Short Slickwater,5978,72,17,70.21,8542.82,Frac Tech II,7298750,602320,4602540,2093890,193309,954.29,4
Q1891OHEO0,7417,29928,9264201300000000SCD0027H1,North,Tilden East,"Wally Unit B 1H, B 2H, B 3H",6199,525,Short Slickwater,6831,69,20,74.5,8596,Frac Tech II,8792800,731780,5407660,2653360,211284,1232,2
Q1891OLEO0,7355,31045,9264201300000000SCD0050H1,North,Tilden East,"Nibling East Unit 1H, Nibling West Unit 1H",5883,750,Short Slickwater,6833,69,20,73.97,8602,Frac Tech I,8606940,763780,5036180,2806980,257496,989.79,1
Q1891OMEO0,8441,37952,9264201300000000SCD0028H1,North,Tilden East,"Wally Unit B 1H, B 2H, B 3H",6214,1575,Short Slickwater,7176,69,21,76.4,8394,Frac Tech II,9231620,796840,5591260,2843520,226600,1408,3
Q1891OQEO0,8135,29627,9264201300000000SCD0052H1,North,Tilden East,"Nibling East Unit 1H, Nibling West Unit 1H",5878,750,Short Slickwater,6734,68,20,74.58,8374.25,Frac Tech I,10809040,769160,5041620,4998260,240215,1041.17,1
Q1891OREO0,3817,19487,9264201300000000TOM0004H1,South,Tilden East,Single Well,6241,925,Slickwater,5114,72,18,81,8337,Frac Tech II,5695720,562980,0,3608760,225488,954,1
Q1891OWEO0,4400,19078,9264201300000000TOM0003H2,South,Tilden East,Single Well,6210,925,Hybrid,5206,72,18,77.9,8155,Frac Tech II,5846000,532560,3069000,0,142129,953,2
Q18923CBK,9407,80643,9264225500000000SWK0033H1,Karnes South - Linhart Area,Karnes,Alice May 1H & Dillon 1H,9790,925,Slickwater,4558,68,17,82.3,9762,Frac Tech II,6103160,512120,3193580,2398880,198223,797,1
Q18923HCK,10708,54313,9264225500000000NEK0041H1,Karnes North - CombsLatka Area,Karnes,"Atzger Unit 1H, 2H, 3H, 4H, Turner 3H & 4H",7492,675,Slickwater,4906,66,15,74.48,9356.4,Halliburton/Frac Tech II,6587860,534480,4040940,2012440,196971,1003.12,1
Q18923MCK,12098,62165,9264225500000000NEK0042H1,Karnes North - CombsLatka Area,Karnes,"Atzger Unit 1H, 2H, 3H, 4H, Turner 3H & 4H",7474,500,Slickwater,4958,67,15,73.91,9370.6,Halliburton/Frac Tech II,6362480,569020,3747480,2045980,200270,955.57,2
Q18923RCK,18464,82064,9264225500000000NEK0045H1,Karnes North - CombsLatka Area,Karnes,"Atzger Unit 1H, 2H, 3H, 4H, Turner 3H & 4H",7472,475,Slickwater,4785,51,19,78.32,9587.47,Halliburton,8657550,702940,4998410,2956200,237009,1138.64,3
Q18923XCK,19974,115456,9264225500000000SWK0037H1,Karnes South - Linhart Area,Karnes,Single Well,9094,1000,Slickwater,4412,70,16,78.8,9672,C&J Frac,5854380,502140,3090700,2261400,206549,858,1
Q189240CK,13163,81675,9264225500000000SWK0030H1,Karnes South - Drees Area,Karnes,Single Well,8658,500,Slickwater,3671,72,13,80.15,9862.08,,4337700,504560,2272140,1561000,154463,0,1
Q189242BK,17696,74996,9264225500000000NEK0022H1,Karnes North - JOG Area,Karnes,Blandford #1H & #2H,8232,625,Slickwater,4418,69,13,76.4,9172,Frac Tech II,5760020,492340,3520170,1747510,205812,770,2
Q189243BK,21847,97312,9264225500000000SWK0031H1,Karnes South - Drees Area,Karnes,Single Well,8750,800,Slickwater,3674,72,13,85.74,9550.85,,4672250,407250,2442740,1822260,151724,0,2
Q189244BK,23662,87460,9264225500000000NEK0048H1,Karnes North - CombsLatka Area,Karnes,"Atzger Unit 1H, 2H, 3H, 4H, Turner 3H & 4H",7438,625,Slickwater,5216,66,16,76.94,9565.13,Halliburton,9394600,602880,5015500,3776220,205458,1019.93,4
Q189247BK,9488,46305,9264225500000000NEK0017H1,Karnes North - JOG Area,Karnes,Single Well,6520,900,Short Slickwater,3794,69,14,85.3,9020,Frac Tech I,4474470,437940,2432270,1604260,150740,797,1
Q189248BK,21038,95670,9264225500000000SWK0089H1,Karnes South - Drees Area,Karnes,Barnett East Unit 3H & 4H,8780,700,Slickwater,3656,63,12,76.06,10164.92,Frac Tech I,5152120,466500,3248760,1436860,179121,623.55,3
Q18924CBK,17857,56912,9264225500000000NEK0018H1,Karnes North - JOG Area,Karnes,Single Well,6540,900,Slickwater,4073,69,15,86.6,9029,Frac Tech I,5364150,466740,2816940,2080470,202083,881,2
Q18924DBK,19865,70878,9264225500000000SWK0090H1,Karnes South - Drees Area,Karnes,Barnett East Unit 3H & 4H,8578,1000,Slickwater,4161,66,13,75.52,9550.58,Frac Tech I,5301740,452980,3231820,1616940,166443,613.02,4
Q18924HCK,15705,80929,9264225500000000SWK0004H1,Karnes South - Drees Area,Karnes,Single Well,8800,500,Slickwater,5018,73.5,13,77.3,9535,Superior - Bossier,5165041,390000,2460900,0,217713.35,1037.46,1
Q18924ICK,5532,25691,9264225500000000SWK0011H1,Karnes South - Drees Area,Karnes,Single Well,8610,950,Slickwater,4182,71,15,72.9,9539,FracTech - dedicated,5265050,450000,3e+06,0,166609.02,759.45,1
Q18924MCK,8183,48015,9264225500000000NEK0002H1,Karnes North - JOG Area,Karnes,Single Well,6718,750,Hybrid / Slickwater,4975,77.5,15,71.1,8816,FracTech - 1/month (Initial Stgs) / Dedicated  Stages (5-16),5353460,450000,2325000,2325000,177270.49,969.93,1
Q18924NCK,13707,69299,9264225500000000SWK0012H2,Karnes South - Drees Area,Karnes,Single Well,8732,950,Hybrid,3654,65.5,14,56,9740,FracTech - dedicated,4870100,280000,9e+05,0,100483,757,2
Q18924SCK,12115,57799,9264225500000000SWK0002H1,Karnes South - Drees Area,Karnes,Single Well,8490,975,Slickwater,4060.95,68.5,13,79,9705,FracTech - 1/month,4670430,390000,2405000,803000,217256.46,730.12,1
Q18924XCK,15694,72486,9264225500000000NEK0021H1,Karnes North - JOG Area,Karnes,Blandford #1H & #2H,8270,650,Slickwater,4354,68,13,77.1,8958,Frac Tech II,5750500,493270,3486390,1770840,201020,780,1
Q189252BK,12196,77639,9264225500000000SWK0008H1,Karnes South - Linhart Area,Karnes,Single Well,9190,425,Slickwater,4560,67,17,73.7,9552,FracTech - dedicated,5214500,510000,2920000,0,221120,1193.93,1
Q189254BK,10706,83563,9264225500000000NEK0011H1,Karnes North - CombsLatka Area,Karnes,Single Well,8938,550,Slickwater,4893,73,17,78,9596,Frac Tech I,5745320,528340,3159120,2057860,213463,844,1
Q189257BK,14233,52568,9264225500000000SWK0078H1,Karnes South - Linhart Area,Karnes,"Dove East Unit 2H, 3H & 4H, Dove West 6H",9140,700,Slickwater,4738,64,15,75.07,9351.27,Frac Tech II,6647400,872300,3337620,2437480,212933,744.86,2
Q189259BK,20274,77889,9264225500000000NEK0013H1,Karnes North - CombsLatka Area,Karnes,Single Well,9000,550,Slickwater,4538,70,17,78.8,9701,Frac Tech I,6119700,529160,3194520,2396020,216562,838,2
Q18925CBK,24801,97344,9264225500000000SWK0079H1,Karnes South - Linhart Area,Karnes,"Dove East Unit 2H, 3H & 4H, Dove West 6H",9332,525,Slickwater,4738,64,15,74.47,9728.33,Frac Tech II,6559980,569500,4040900,1949580,227551,751.12,3
Q18925EBK,23083,93839,9264225500000000NEK0012H1,Karnes North - CombsLatka Area,Karnes,Single Well,9030,800,Hybrid,4692,72,16,66,9530,Frac Tech I,5735950,490520,2978470,266960,140740,842,3
Q18925HCK,18373,62314,9264225500000000SWK0080H1,Karnes South - Linhart Area,Karnes,"Dove East Unit 2H, 3H & 4H, Dove West 6H",9106,650,Slickwater,4738,64,15,75.48,9881.47,Frac Tech II,6615860,569280,4047140,1999440,213581,788.4,4
Q18925JCK,19161,81953,9264225500000000NEK0014H1,Karnes North - CombsLatka Area,Karnes,Single Well,8930,1000,Slickwater,4412,70,16,78.4,9547,Frac Tech I,5774060,469560,3012080,2265420,205497,792,4
Q18925MCK,18043,85630,9264225500000000SWK0007H2,Karnes South - Linhart Area,Karnes,Single Well,9202,650,Slickwater,4622,65,16,73,9575,FracTech - dedicated,5956780,480000,3200000,1920000,207298,1068.12,1
Q18925RCK,20569,74113,9264225500000000SWK0073H1,Karnes South - Linhart Area,Karnes,"Dove West Unit 2H, 3H, 4H & 5H",9026,650,Super Slickwater,4797,70,14,81.9,9502.07,Calfrac,7291419,548500,3380290,3362629,185051,0,2
Q18925XCK,19850,103333,9264225500000000SWK0032H1,Karnes South - Linhart Area,Karnes,Single Well,9762,925,Slickwater,4625,69,17,82,9804,Frac Tech II,6105920,520600,3188620,2396700,197463,878,1
Q189260CK,38014,126781,9264225500000000SWK0001H1,Karnes South - Drees Area,Karnes,Single Well,8810,550,Slickwater,4726,37,12,78,9211,BJ Services,4436610,0,3120000,0,200903,1214.29,1
Q189262B5C,21984,95144,9264225500000000NEK0070H1,Karnes North - CombsLatka Area,Karnes,"Janysek Unit 1H, 2H, 3H & 10H",8790,875,Slickwater,4834,66,15,74.9,9589.6,Frac Tech I,6590250,573550,4053720,1962980,205399,760.17,10
Q189264BK,18076,76102,9264225500000000SWK0072H1,Karnes South - Linhart Area,Karnes,"Dove West Unit 2H, 3H, 4H & 5H",9188,325,Super Slickwater,4832,69.5,14,82.58,9319.79,Calfrac,7206589,517800,3360360,5490329,183802,0,3
Q189267B5C,39286,166433,9264225500000000NEK0029H1,Karnes North - CombsLatka Area,Karnes,"Janysek Unit 1H, 2H, 3H & 10H",9028,375,Super Slickwater,5831,65.5,18,75.69,9518.33,Frac Tech I,9456910,694790,4844000,3918120,247354,949.67,1
Q189269BK,25769,83386,9264225500000000SWK0074H1,Karnes South - Linhart Area,Karnes,"Dove West Unit 2H, 3H, 4H & 5H",9072,600,Super Slickwater,4625,67,14,79.15,9633.21,Calfrac,6728560,490180,3148980,3089400,184204,0,4
Q18926CB5C,13633,44629,9264225500000000NEK0033H1,Karnes North - CombsLatka Area,Karnes,"Janysek Unit 1H, 2H & 3H",9014,350,Slickwater,5528,66,17,70.93,9104.56,Frac Tech I,7381980,665700,4569260,2147020,223459,858.1,2
Q18926EBK,30396,111396,9264225500000000SWK0075H1,Karnes South - Linhart Area,Karnes,"Dove West Unit 2H, 3H, 4H & 5H",9200,350,Super Slickwater,4866,70.5,14,77.16,9139.13,Calfrac,7306660,549300,3381860,3375500,199786,0,5
Q18926HC5C,19468,106319,9264225500000000NEK0034H1,Karnes North - CombsLatka Area,Karnes,"Janysek Unit 1H, 2H, 3H & 10H",9008,375,Slickwater,5462,65,15,73.88,9755.47,Frac Tech I,7524400,644860,4571400,2308140,237611,849.48,3
Q18926ICK,20937,89804,9264225500000000NEK0016H1,Karnes North - JOG Area,Karnes,Single Well,7474,800,Slickwater,4822,72,17,83.9,9088,Frac Tech I,6117780,520720,3192880,2404180,213546,849,1
Q18926JCK,22510,97453,9264225500000000SWK0127H1,Karnes South - Linhart Area,Karnes,"Dove East Unit 2H, 3H & 4H, Dove West 6H",9350,450,Slickwater,4960,67,15,76.31,8163.55,Frac Tech II,6669970,576520,4052290,2041160,237540,826.69,6
Q18926MC5C,16712,87907,9264225500000000NEK0068H1,Karnes North - CombsLatka Area,Karnes,"Janysek 4H, 5H, 8H & 9H",8876,375,Slickwater,5072,65,16,79.92,9093.4,C&J Frac,6700600,597440,3821380,2281780,214684,936.83,4
Q18926NCK,27725,107831,9264225500000000NEK0015H2,Karnes North - JOG Area,Karnes,Single Well,7408,800,Short Slickwater,4893,73,17,79.5,8959,Frac Tech I,6157020,520580,3220620,2415820,164641,865,2
Q18926OCK,38014,127088,9264225500000000SWK0014H2,Karnes South - Drees Area,Karnes,Single Well,8200,350,Short Slickwater,4805,72,17,76,9609,FracTech - dedicated,5850100,510000,3162000,2380000,168420,859,2
Q18926RC5C,43268,154683,9264225500000000NEK0069H1,Karnes North - CombsLatka Area,Karnes,"Janysek 4H, 5H, 8H & 9H",9020,550,Super Slickwater,5742,64.5,18,80.21,9260.93,C&J Frac,9229050,620950,4288820,4319280,257912,974.83,5
Q18926SCK,13413,71259,9264225500000000NEK0023H1,Karnes North - CombsLatka Area,Karnes,Single Well,8294,675,Slickwater,4014,68,15,83.5,9237,Weatherford,5271280,438560,3013600,1819120,184065,732,1
Q18926TCK,11770,61042,9264225500000000SWK0013H1,Karnes South - Drees Area,Karnes,Single Well,8420,425,Short Slickwater,4804,73,17,74.3,9749.6,FracTech - dedicated,5903260,510000,3145000,2295000,158615,926,3
Q18926XCK,16132,64222,9264225500000000NEK0024H1,Karnes North - CombsLatka Area,Karnes,Single Well,8396,650,Slickwater,4160,66,16,85,9696,Weatherford,5192270,456640,2957340,1778290,199658,937,2
Q189270C5C,16441,85735,9264225500000000SWK0020H1,Karnes South - KASManka Area,Karnes,Single Well,8214,525,Slickwater,4956,74,17,79.2,9244,Frac Tech I,5986020,520420,3208060,2257540,152980,810,3
Q189272B5C,14991,39499,9264225500000000NEK0054H1,Karnes North - CombsLatka Area,Karnes,"Joseph Unit 1H,2H,3H,4H,5H,6H",7666,575,Short Slickwater,5687,69,17,72.21,9329.94,Frac Tech II,7608350,645490,4563100,2399760,179396,850.05,1
Q189273B5C,21005,80956,9264225500000000SWK0021H1,Karnes South - KASManka Area,Karnes,"Jendrzey 2H,4H",8242,500,Slickwater,3955,67,15,83.6,9493,Frac Tech I,5330800,457380,2840520,2032900,189143,750,4
Q189274B5C,25849,93219,9264225500000000NEK0035H2,Karnes North - CombsLatka Area,Karnes,"Janysek 6H,7H",8750,450,Short Slickwater,5374,68,16,78.5,9575,Hallibutron,6835060,599700,3870180,2365180,185361,984,6
Q189277BJO,14160,52871,9264225500000000NEK0055H1,Karnes North - CombsLatka Area,Karnes,"Joseph Unit 1H,2H,3H,4H,5H,6H",7614,350,Short Slickwater,5325,71,16,73.52,9181.88,Frac Tech II,7033800,605740,4271120,2156940,184219,803.6,2
Q189279B5C,27275,101780,9264225500000000NEK0036H1,Karnes North - CombsLatka Area,Karnes,"Janysek 6H,7H",8822,725,Slickwater,5182,70,15,79.2,9451,Hallibutron,6502580,595200,3687980,2219400,222693,960,7
Q18927CBJO,15857,43516,9264225500000000NEK0056H1,Karnes North - CombsLatka Area,Karnes,"Joseph Unit 1H,2H,3H,4H,5H,6H",7678,350,Short Slickwater,5374,68,16,72.17,9226.81,Frac Tech II,7055810,608720,4301770,2145320,181371,801.76,3
Q18927DB5C,18893,79615,9264225500000000NEK0001H1,Karnes North - JOG Area,Karnes,Single Well,7292,1000,Slickwater,3785,72,14,78,8200,Superior - Marrlow (daylights),4873460,35000,4004000,72000,227914,768,1
